class,lifecycle,required_components,notes
som_data,stable,layers|metadata|id_source,Training layers and metadata remain separate with explicit identifier provenance.
som_preprocess,stable,transform|center|scale|zero_replacement,Declarative preprocessing specification.
som_resamples,stable,method|splits|seed|n|sample_ids,Resampling indices are bound to ordered sample identities.
som_spec,stable,grids|seeds|rlen|alpha|radius|topology|neighbourhood|toroidal|mode|k|max_na_fraction|layer_weights|normalize_layers|cores,Prespecified ensemble design.
som_ensemble,stable,data|spec|resamples|preprocess|fits|failures|warnings|expected_models|parallel,Full SOM fit audit trail.
som_audit,stable,fit_metrics|grid_summary|success_rate|failures|ensemble,Representation evidence remains separate from partitions.
som_partitions,stable,records|pairwise|stability|method|scope|max_pairwise_comparisons|ensemble,Candidate partitions record actual observed classes and pairwise computation budget.
som_consensus,stable,k|method|scope|coassignment|tree|consensus_labels|aligned_labels|membership_support|assignment_entropy|assignment_count|assignment_coverage|consensus_label_coverage|observed_consensus_clusters|n_consensus_clusters|complete_consensus_k|replicated_assignment_coverage|alignment_diagnostics|clusterwise_jaccard|cluster_summary|metadata|records|ensemble,Consensus distinguishes assignment from identifiable consensus-label coverage and records whether all requested clusters remain represented.
som_cross_models,stable,records|failures|warnings|methods|k|ensemble,Controlled references retain seeds prediction rules and failures.
som_cross_comparison,stable,comparisons|summary|failures|warnings|methods|reference_status|partition_completeness|scope|ensemble,Cross-model agreement without ranking plus reference-fit and source-partition completeness.
som_workflow,stable,ensemble|audit|partitions|consensus|consensus_failures|cross_models|cross_comparison|requested_k|provenance,Top-level workflow includes QA and lightweight provenance.
som_gate,stable,max_topographic_error|max_empty_unit_rate|min_median_ari|min_median_ami|min_pairwise_coverage|min_cluster_jaccard|min_consensus_coverage|min_replicated_coverage|min_membership_support|max_assignment_entropy|min_cross_model_ari|min_cross_model_methods|min_success_rate,Analyst-specified gates with no universal defaults.
som_defensibility,stable,status|k|evidence|checks,Conditional decision and reasons.
som_external_assessment,stable,n_total|n_used|n_omitted|source|excluded_values|ari|ami|contingency|composition,Post hoc external-label agreement.
som_transfer_audit,stable,metrics|failures|ensemble,Held-out-domain diagnostics include mapping coverage.
som_newdata_mapping,stable,records|summary|failures|warnings|metadata|n_expected_fits,Fit-specific mapping records failures and warnings.
som_sensitivity,experimental,representation|partition|cross_model|scenario_comparison|sample_comparison|sample_summary|failures|model_failures|model_warnings|workflows,Scenario output retains model-stage diagnostics when workflows are omitted.
